Table 40,,,,,,,,,,,,,,,,,,,,,,,,
"Education-related debt of doctorate recipients, by sex, citizenship status, ethnicity, and race: 2017",,,,,,,,,,,,,,,,,,,,,,,,
"(Mean debt, number, and percent)",,,,,,,,,,,,,,,,,,,,,,,,
Debt level,Sex,,,,Citizenship status,,,,U.S. citizens and permanent residents,,,,,,,,,,,,,,,
,,,,,,,,,Hispanic or Latino,,Not Hispanic or Latino,,,,,,,,,,,,Ethnicity not reported,
"$70,001–$80,000",283,1.1,422,1.9,634,1.9,66,0.4,63,2.6,D,D,25,0.8,106,4.7,414,1.7,17,1.7,D,D,2,1.8
"$80,001–$90,000",407,1.5,523,2.3,849,2.5,75,0.5,75,3.1,6,6.0,48,1.5,135,6.0,554,2.3,21,2.1,7,2.4,3,2.7
"$90,001 or more","1,264",4.7,"1,936",8.6,"2,974",8.9,207,1.3,271,11.3,19,19.0,105,3.3,593,26.2,"1,864",7.8,89,8.9,23,7.7,10,9.0
Total,"26,736",100.0,"22,570",100.0,"33,385",100.0,"15,729",100.0,"2,391",100.0,100,100.0,"3,181",100.0,"2,264",100.0,"24,036",100.0,"1,005",100.0,297,100.0,111,100.0
Undergraduate debt, , , , , , , , , , , , , , , , , , , , , , , , 
Mean,"$7,699",,"$9,296",,"$11,435",,"$2,034",,"$14,027",,"$15,202",,"$5,292",,"$22,720",,"$10,863",,"$12,873",,"$10,731",,"$9,911",
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
No debt,"19,610",73.1,"15,539",68.6,"20,770",62.0,"14,254",90.2,"1,285",53.5,54,54.5,"2,458",77.1,947,41.6,"15,156",62.9,597,58.9,199,66.1,74,66.1
"$10,000 or less","1,818",6.8,"1,649",7.3,"2,781",8.3,676,4.3,275,11.5,7,7.1,240,7.5,221,9.7,"1,914",7.9,88,8.7,24,8.0,12,10.7
"$10,001–$20,000","1,577",5.9,"1,644",7.3,"2,873",8.6,330,2.1,243,10.1,11,11.1,195,6.1,201,8.8,"2,109",8.8,89,8.8,18,6.0,7,6.3
"$20,001–$30,000","1,335",5.0,"1,248",5.5,"2,363",7.1,208,1.3,181,7.5,7,7.1,122,3.8,224,9.8,"1,733",7.2,72,7.1,18,6.0,6,5.4
"$30,001–$40,000",795,3.0,758,3.3,"1,435",4.3,107,0.7,116,4.8,8,8.1,60,1.9,161,7.1,"1,026",4.3,52,5.1,10,3.3,2,1.8
"$40,001–$50,000",467,1.7,517,2.3,910,2.7,71,0.4,81,3.4,D,D,30,0.9,D,D,629,2.6,33,3.3,11,3.7,5,4.5
"$50,001–$60,000",333,1.2,387,1.7,657,2.0,58,0.4,67,2.8,D,D,23,0.7,D,D,448,1.9,18,1.8,9,3.0,0,0.0
"$60,001–$70,000",232,0.9,238,1.1,450,1.3,20,0.1,34,1.4,D,D,18,0.6,D,D,294,1.2,17,1.7,2,0.7,1,0.9
"$70,001–$80,000",155,0.6,143,0.6,281,0.8,17,0.1,24,1.0,D,D,7,0.2,D,D,185,0.8,14,1.4,1,0.3,2,1.8
"$80,001–$90,000",167,0.6,167,0.7,306,0.9,26,0.2,29,1.2,D,D,13,0.4,D,D,198,0.8,12,1.2,1,0.3,0,0.0
"$90,001 or more",341,1.3,369,1.6,666,2.0,39,0.2,66,2.7,D,D,23,0.7,D,D,406,1.7,21,2.1,8,2.7,3,2.7
Total,"26,830",100.0,"22,659",100.0,"33,492",100.0,"15,806",100.0,"2,401",100.0,99,100.0,"3,189",100.0,"2,279",100.0,"24,098",100.0,"1,013",100.0,301,100.0,112,100.0
